date,open,high,low,close,volume
20200108 203000,1.31088,1.31173,1.31011,1.31051,16349
20200108 213000,1.31051,1.31065,1.30963,1.31033,8244
20200108 223000,1.31033,1.31033,1.30975,1.31009,9222
20200108 233000,1.31009,1.31033,1.30974,1.30979,6592
20200109 003000,1.30979,1.30997,1.30925,1.30953,3982
20200109 013000,1.30953,1.31046,1.30931,1.31009,1222
20200109 023000,1.31009,1.31062,1.30967,1.31056,3305
20200109 033000,1.31056,1.31123,1.31033,1.31098,6737
20200109 043000,1.31098,1.31144,1.31045,1.31123,4746
20200109 053000,1.31123,1.31124,1.31043,1.3109,2639
20200109 063000,1.3109,1.31115,1.31059,1.3106,2259
20200109 073000,1.3106,1.31091,1.31049,1.31091,2253
20200109 083000,1.31091,1.31192,1.3109,1.31168,2612
20200109 093000,1.31168,1.3124,1.3108,1.31111,4558
20200109 103000,1.31111,1.3119,1.31012,1.31141,12418
20200109 113000,1.31141,1.31141,1.30848,1.30877,19797
20200109 123000,1.30877,1.30919,1.30176,1.30272,41573
20200109 133000,1.30272,1.30437,1.30194,1.30429,23719
20200109 143000,1.30429,1.30516,1.30136,1.30196,19399
20200109 153000,1.30196,1.3041,1.30128,1.30375,19898
20200109 163000,1.30375,1.30695,1.30222,1.30525,19352
20200109 173000,1.30525,1.30586,1.30368,1.30493,16043
